,Rank,Team,Change,Prior,Date,Division
0,1,North Carolina,-,1,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
1,2,Washington,-,2,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
2,3,Carleton,-,3,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
3,4,UC Santa Barbara,-,4,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
4,5,UC Davis,-,5,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
5,6,Tufts,+8,14,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
6,7,Vermont,+3,10,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
7,8,UC San Diego,-2,6,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
8,9,Brigham Young,-2,7,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
9,10,Colorado,-1,9,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
10,11,British Columbia,-,11,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
11,12,Texas,+1,13,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
12,13,Appalachian State,,-,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
13,14,UCLA,+2,16,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
14,15,Pittsburgh,-7,8,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
15,16,Chicago,+1,17,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
16,17,Northeastern,+1,18,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
17,18,Georgia,-3,15,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
18,19,Western Washington,+1,20,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
19,20,Stanford,+1,21,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
20,21,Florida State,-2,19,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
21,22,Washington University,-,22,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
22,23,Utah,-,23,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
23,24,Dartmouth,-,24,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
24,25,Ohio,-,25,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
0,1,North Carolina,-,1,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
1,2,Washington,-,2,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
2,3,Carleton,-,3,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
3,4,UC Santa Barbara,-,4,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
4,5,UC Davis,-,5,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
5,6,UC San Diego,-,6,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
6,7,Brigham Young,-,7,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
7,8,Pittsburgh,-,8,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
8,9,Colorado,-,9,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
9,10,Vermont,-,10,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
10,11,British Columbia,-,11,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
11,12,Virginia,-,12,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
12,13,Texas,-,13,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
13,14,Tufts,-,14,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
14,15,Georgia,-,15,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
15,16,UCLA,-,16,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
16,17,Chicago,-,17,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
17,18,Northeastern,-,18,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
18,19,Florida State,-,19,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
19,20,Western Washington,-,20,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
20,21,Stanford,-,21,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
21,22,Washington University,-,22,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
22,23,Utah,-,23,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
23,24,Dartmouth,-,24,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
24,25,Ohio,-,25,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
0,1,North Carolina,-,1,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
1,2,Washington,-,2,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
2,3,Carleton,-,3,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
3,4,UC Santa Barbara,-,4,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
4,5,UC Davis,+1,6,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
5,6,UC San Diego,-1,5,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
6,7,Brigham Young,,-,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
7,8,Pittsburgh,-,8,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
8,9,Colorado,+1,10,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
9,10,Vermont,+3,13,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
10,11,British Columbia,,-,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
11,12,Virginia,-5,7,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
12,13,Texas,-2,11,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
13,14,Tufts,+3,17,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
14,15,Georgia,-,15,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
15,16,UCLA,-,16,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
16,17,Chicago,-3,14,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
17,18,Northeastern,,-,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
18,19,Florida State,+3,22,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
19,20,Western Washington,-11,9,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
20,21,Stanford,-9,12,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
21,22,Washington University,-4,18,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
22,23,Utah,-3,20,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
23,24,Dartmouth,,-,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
24,25,Ohio,-2,23,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
0,1,North Carolina,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
1,2,Washington,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
2,3,Carleton,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
3,4,UC Santa Barbara,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
4,5,UC San Diego,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
5,6,UC Davis,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
6,7,Virginia,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
